other_floor_type_0,other_floor_type_1,other_floor_type_2
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,1,0
0,0,1
0,1,1
0,0,1
0,0,1
0,1,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,1
1,0,0
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,1,0
0,1,1
0,0,1
0,1,0
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,0
0,1,1
0,1,0
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,1,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,1,1
0,1,0
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,0
0,1,0
0,0,1
0,1,1
0,0,1
0,0,1
0,1,0
0,0,1
0,1,1
0,1,1
0,0,1
0,0,1
0,0,1
0,1,1
1,0,0
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,1,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,1,1
0,0,1
0,1,0
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,1,0
0,0,1
0,1,0
0,0,1
0,1,1
1,0,0
0,1,0
0,0,1
0,1,0
0,1,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
1,0,0
0,1,0
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,1,1
1,0,0
0,0,1
0,0,1
0,0,1
0,1,1
0,1,1
0,1,0
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
1,0,0
0,1,1
1,0,0
0,0,1
0,1,1
1,0,0
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,1
0,0,1
0,0,1
0,1,0
0,0,1
0,1,0
0,0,1
0,1,0
0,1,1
0,0,1
0,0,1
0,1,1
0,0,1
0,1,1
0,1,1
0,1,1
1,0,0
0,0,1
0,0,1
1,0,0
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,0
0,0,1
0,1,1
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,1
0,0,1
1,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,0
